rollrate,pitchrate,yawrate,ax,ay,az,beta,yawrate_noise,ax_noise,ay_noise,vx,vy,vz,betarate,pitch,roll,yaw
-0.0040499,0.010385,0.23563,-1.0184,7.4838,0.048319,-0.046031,0.43183,-0.82225,7.68,32.108,-1.4726,-0.0058128,-0.0048836,0.0096741,0.038786,-2.2076
-0.0045759,0.010127,0.23609,-1.0208,7.4736,0.043626,-0.046083,-0.32174,-1.5786,6.9158,32.095,-1.4737,-0.005353,-0.0055486,0.0096851,0.038766,-2.2052
-0.0051133,0.0098835,0.23646,-1.0229,7.4634,0.038729,-0.046142,0.38165,-0.87766,7.6086,32.081,-1.4749,-0.0049413,-0.0061283,0.0096936,0.038741,-2.2029
-0.0056483,0.0096549,0.23674,-1.0247,7.4532,0.03373,-0.046206,0.41118,-0.85029,7.6276,32.067,-1.4763,-0.004579,-0.0066185,0.0096996,0.03871,-2.2005
-0.0061674,0.009442,0.23693,-1.0264,7.4431,0.02872,-0.046274,0.055746,-1.2076,7.2619,32.054,-1.4778,-0.0042669,-0.0070179,0.0097033,0.038674,-2.1981
-0.0066592,0.009245,0.23703,-1.0278,7.4331,0.023805,-0.046346,0.36776,-0.89704,7.5638,32.04,-1.4795,-0.0040045,-0.0073253,0.0097051,0.038633,-2.1958
-0.0071136,0.0090638,0.23705,-1.0288,7.4232,0.019056,-0.046421,1.3846,0.11873,8.5707,32.026,-1.4812,-0.0037904,-0.0075399,0.0097051,0.038587,-2.1934
-0.0075225,0.0088982,0.23698,-1.0295,7.4135,0.014524,-0.046497,0.032237,-1.2342,7.2087,32.012,-1.483,-0.0036227,-0.0076622,0.0097034,0.038536,-2.191
-0.0078798,0.0087484,0.23682,-1.0298,7.404,0.010259,-0.046574,-0.48356,-1.7502,6.6836,31.998,-1.4848,-0.0034991,-0.0076924,0.0097003,0.038482,-2.1886
-0.0081807,0.0086143,0.23658,-1.0299,7.3947,0.0063033,-0.04665,-0.95727,-2.2238,6.2008,31.985,-1.4866,-0.0034166,-0.007631,0.0096961,0.038425,-2.1863
-0.0084244,0.0084955,0.23625,-1.0298,7.3851,0.0027095,-0.046726,-0.10349,-1.3695,7.0453,31.971,-1.4884,-0.0033718,-0.0074947,0.0096908,0.038365,-2.1839
-0.0086129,0.0083913,0.23584,-1.0293,7.3756,-0.00053462,-0.0468,-0.065903,-1.331,7.0739,31.957,-1.4902,-0.0033613,-0.0072699,0.0096847,0.038303,-2.1815
-0.0087481,0.0082999,0.23535,-1.0283,7.3663,-0.0033956,-0.046871,-0.28865,-1.5523,6.8423,31.943,-1.4918,-0.0033812,-0.0069598,0.0096779,0.038239,-2.1792
-0.0088356,0.0082198,0.23478,-1.0269,7.3569,-0.0058753,-0.046939,1.1439,-0.11777,8.2661,31.929,-1.4933,-0.0034279,-0.0065733,0.0096707,0.038173,-2.1768
-0.0088791,0.0081494,0.23413,-1.0251,7.3476,-0.0079635,-0.047002,0.66724,-0.59199,7.7807,31.916,-1.4947,-0.0034974,-0.0061086,0.009663,0.038107,-2.1745
-0.0088835,0.008087,0.2334,-1.0229,7.3382,-0.0096728,-0.04706,0.53317,-0.72317,7.638,31.902,-1.496,-0.0035859,-0.0055692,0.0096552,0.038041,-2.1721
-0.0088537,0.0080314,0.23261,-1.0205,7.3289,-0.011015,-0.047113,0.4205,-0.83258,7.5168,31.888,-1.497,-0.0036896,-0.0049587,0.0096471,0.037975,-2.1698
-0.0087947,0.0079809,0.23174,-1.0177,7.3196,-0.012009,-0.047159,-1.053,-2.3024,6.0348,31.875,-1.4979,-0.003805,-0.00428,0.0096391,0.037909,-2.1675
-0.0087111,0.0079335,0.23081,-1.0144,7.3102,-0.012673,-0.047198,0.98476,-0.26046,8.0642,31.861,-1.4985,-0.0039286,-0.0035361,0.009631,0.037844,-2.1652
